order,#,test,bird,block,area,perimeter,height,width,areaMM,perimeterMM,heightMM,widthMM
188,8,Size2,Azzuro,B1,440461.5,3263.75143,825,880,3163.325912,276.5891042,69.91525424,74.57627119
189,1,Size2,Azzuro,B2,97591,1428.655975,151,270,700.8833668,121.0725403,12.79661017,22.88135593
190,2,Size2,Azzuro,B2,35927,1104.440686,143,409,258.0221201,93.59666829,12.11864407,34.66101695
191,3,Size2,Azzuro,B2,124963.5,1760.780867,292,750,897.4683999,149.2187175,24.74576271,63.55932203
192,4,Size2,Azzuro,B2,153361,1887.234623,541,473,1101.414823,159.9351375,45.84745763,40.08474576
193,5,Size2,Azzuro,B2,440774,3543.900705,653,1158,3165.570238,300.3305682,55.33898305,98.13559322
194,1,Size2,Azzuro,B3,353313.5,3521.000331,429,1448,2537.442545,298.3898585,36.3559322,122.7118644
195,2,Size2,Azzuro,B3,70715.5,1334.815357,192,510,507.8677104,113.1199455,16.27118644,43.22033898
196,3,Size2,Azzuro,B3,164775.5,2348.486491,296,772,1183.391985,199.0242789,25.08474576,65.42372881
197,4,Size2,Azzuro,B3,398383.5,3341.211448,443,1131,2861.128268,283.1535126,37.54237288,95.84745763
198,1,Size2,Azzuro,B4,397588,3819.728254,388,1518,2855.415111,323.7057842,32.88135593,128.6440678
199,2,Size2,Azzuro,B4,119925,2096.621487,196,610,861.2826774,177.679787,16.61016949,51.69491525
200,3,Size2,Azzuro,B4,1059577.5,4568.250991,1309,928,7609.720626,387.1399145,110.9322034,78.6440678
201,1,Size2,Blue,B1,143393.5,1877.619399,340,635,1029.82979,159.1202881,28.81355932,53.81355932
202,2,Size2,Blue,B1,42109.5,961.026472,333,156,302.4238725,81.44292135,28.22033898,13.22033898
203,3,Size2,Blue,B1,119100,1978.087435,779,251,855.3576558,167.6345284,66.01694915,21.27118644
204,4,Size2,Blue,B1,140571,2017.602154,693,340,1009.559035,170.9832334,58.72881356,28.81355932
205,1,Size2,Blue,B2,94446.5,1455.310744,333,430,678.3000575,123.3314189,28.22033898,36.44067797
206,2,Size2,Blue,B2,40959,1067.528999,137,429,294.1611606,90.46855923,11.61016949,36.3559322
207,3,Size2,Blue,B2,86251,1450.856986,262,542,619.4412525,122.9539819,22.20338983,45.93220339
208,4,Size2,Blue,B2,64653,1176.01428,380,218,464.3277794,99.66222714,32.20338983,18.47457627
209,5,Size2,Blue,B2,90992,1763.234623,710,178,653.4903763,149.426663,60.16949153,15.08474576
